"siteID","sitename","lat","lon","datasetID","acc","thickness","description"
8,"Abalone Rocks Marsh",33.956389,-119.976667,8,20,10,"Small estuarine marsh. Physiography: Santa Rosa Island. Surrounding vegetation: coastal marsh and grassland."
24,"Alexander Lake",53.333333,-60.583333,24,10,10,"Physiography: rolling glacial till, eskers, kettles,."
30,"Almora Lake",46.206111,-95.293611,30,20,20,"Lake with emergent reed vegetation. Physiography: Parkers Prairie sandplain. Surrounding vegetation: agriculture."
196,"Hell's Kitchen Lake",46.18693,-89.702685,3131,5,20,"Kettle lake. Physiography: steep topography. Surrounding vegetation: Betula, Populus, Acer."
205,"Andrus Lake",46.7,-85.040278,205,50,5,"Seepage lake. Physiography: flat sandy glacial lake bottom. Surrounding vegetation: Pinus/Betula/Quercus/Acer."
234,"Basin Pond",44.47,-70.05,237,5,20,"Granite bedrock basin. Surrounding vegetation: hardwoods with abundant Pinus strobus."
235,"Lac Bastien",46.4,-78.916667,238,20,15,"Glacial scour lake. Physiography: Canadian Shield. Surrounding vegetation: fir-maple-spruce-birch forest."
236,"Battle Ground Lake",45.8,-122.491667,239,10,20,"Volcanic crater. Physiography: Puget Trough. Surrounding vegetation: second-growth Pseudotsuga/decid forest."
244,"Bechan Cave",37.36666667,-110.8666667,247,50,15,"Large sandstone cave. Physiography: canyon lands. Surrounding vegetation: open juniper woodland."
246,"Beef Pasture",37.416667,-108.15,250,20,10,"Open wet meadow and fen occupying a depression formed by a landslide ~5000 BP in the La Plata Mountains. Local upland vegetation dominated by Picea engelmannii, Pseudotsuga menziesii, Populus tremuloides, and Alnus tenuifolia. Salix brachycarpa lines the edges of the wet meadow."
254,"Berry Pond",42.5,-73.316667,260,50,10,NA
257,"Lake BI2",57.116667,-76.378333,3471,50,15,"Lake."
265,"Biggsville [Cessford Quarry]",40.855556,-90.88,271,50,20,"Quarry. Physiography: undulating loess-mantled plain. Surrounding vegetation: agricultural.
Section excavated from the south overburden face of the Biggsville Quarry. 
Pollen studied by Baker (Neotoma Database). Correlate insect and pollen samples using C-14 ages."
266,"Big John Pond",47.559175,-94.970775,272,20,20,"Lake in pitted outwash plain. Physiography: Bemidji Sand Plain (glacial outwash). Surrounding vegetation: Pinus banksiana forest."
272,"Black Pond",35.620833,-84.186667,278,10,10,"Spring-fed sinkhole pond. Physiography: ridge and valley province. Surrounding vegetation: oak-hickory forest."
273,"Blacktail Pond",44.95611,-110.60071,20308,50,5,"Blacktail Pond is situated in a remnant late-Pleistocene meltwater channel; surrounding vegetation is Pseudotsuga menziesii (Douglas-fir) parkland, which includes grassland and steppe communities dominated by Artemisia tridentata (big sagebrush), Festuca idahoensis (Idaho fescue), and Ericameria nauseosa (rabbitbrush)."
297,"Border Beacon",55.333333,-63.2,303,50,20,"Kettle lake. Physiography: glacial outwash plain. Surrounding vegetation: tundra with scattered white spruce."
299,"Bossuot Lake",44.296475,-93.73571,305,20,20,"Kettle lake. Physiography: rolling stagnation moraine."
307,"Brown's Bay, Lake Minnetonka",44.95769,-93.545105,314,5,5,"Mesotrophic bay in Lake Minnetonka. Physiography: rolling stagnation moraine. Surrounding vegetation: residential/Acer/Quercus/Tilia."
314,"Bucyrus Bog",40.797222,-82.933333,321,50,20,"Small cresent shaped wet area. Physiography: Till Plains. Surrounding vegetation: Salix/Populus/Crataegus."
317,"Burden Lake",42.604167,-73.566667,324,5,20,"Lake with two basins. Physiography: Hudson valley/Glac. Allegheny Plateau. Surrounding vegetation: Quercus/Carya/Acer."
321,"Cahaba Pond",33.5,-86.533333,328,50,20,NA
325,"Camp 11 Lake",46.666667,-88.016667,332,50,20,NA
326,"Camp 12 Lake",45.986111,-89.375,333,5,5,"Seepage lake. Physiography: gently rolling sandy terrain. Surrounding vegetation: Acer/Quercus/Betula/Pinus/Populus."
329,"Candelabra Lake",61.683333,-130.65,336,50,5,"Small lake. Surrounding vegetation: Picea mariana, muskeg."
330,"Tourbière Caribou",47.639722,-71.235833,337,50,10,"Kettle lake with 90% quaking mat. Physiography: fluvioglacial undulating valley bottom. Surrounding vegetation: Piceeto marianae - Abietetum."
331,"Carbuncle Pond",41.7,-71.783333,338,5,20,NA
333,"Caribou Bog",44.93672,-68.77344,340,20,20,"Raised bog. Physiography: coastal lowlands. Surrounding vegetation: Sphagnum, Ericaeae, Picea."
334,"Caribou Hill",55.666667,-63.25,341,20,20,"Small bay in larger lake. Physiography: Kogaluk plateau. Surrounding vegetation: tundra/Picea."
337,"Carter Site",40.216667,-84.680556,345,10,15,"Circular kettle lake. Physiography: till plain; Union city and Bloomer moraine. Surrounding vegetation: agriculturally disturbed."
338,"Lac Castor",46.613889,-72.998611,346,10,5,"Rock basin lake. Physiography: hilly moraine. Surrounding vegetation: Tilio - Aceretum sacchari."
339,"Cascade Fen",37.483333,-107.8,347,50,20,"Bog. Physiography: San Juan Mountains. Surrounding vegetation: Aspen with mixed conifers."
340,"Lago Catemaco",18.666667,-95,348,5,20,"Volcanic lake. Physiography: Sierra de los Tuxtlas. Surrounding vegetation: agricultural, remnant forest."
353,"Chase Pond",45.651389,-60.675,361,50,20,"Small pond surrounded by steep banks. Physiography: broad rolling lowland, Appalachian Prov.. Surrounding vegetation: Sphagnum, Picea mariana, P. glauca,Larix."
478,"Clear Lake",43.12507,-93.42973,489,20,20,"Surrounding vegetation: farmland."
482,"Clear Pond",43.748575,-74.016955,494,5,15,"Small lake, no marginal bog or fen. Surrounding vegetation: spruce with hemlock-hardwood forests."
489,"Compass Pond",50.034167,-56.196389,501,10,5,"Rock basin lake. Physiography: bedrock hills with till veneer. Surrounding vegetation: Picea mariana, Abies balsamea, Betula."
491,"Conroy Lake",46.283333,-67.883333,503,5,20,"Conroy Lake is a kettle lake located within a beaded esker complex. Surrounding vegetation: Pinus strobus, Picea spp, Betula, Alnus."
491,"Conroy Lake",46.283333,-67.883333,14768,50,20,"Conroy Lake is a kettle lake located within a beaded esker complex. Surrounding vegetation: Pinus strobus, Picea spp, Betula, Alnus."
495,"Coppermine Saddleback",67.833333,-115.316667,507,50,20,NA
507,"Crawford Lake",43.5,-79.83,520,5,20,"Glacially scoured lake. Physiography: Niagara Escarpment, cliffs, glacial deposits. Surrounding vegetation: white cedar."
509,"Creditview Wetland",43.6,-79.6,522,50,20,NA
512,"Crowfoot Lake",51.65,-116.416667,525,50,10,"Lake in glacial valley. Physiography: Mountains, outside Crowfoot Moraine. Surrounding vegetation: Picea engelmanii, Abies lasiocarpa."
524,"Cummins Pond",48.4075,-89.346667,538,10,15,"Pond. Physiography: Lake Superior Basin."
533,"Daumont",54.883333,-69.4,549,20,15,"Rock basin lake. Physiography: rolling stagnation moraine. Surrounding vegetation: Cladino - Piceetum marianae."
558,"Mohawk Pond",41.81115,-73.292685,3493,10,15,"Kettle lake in the southern Berkshires."
562,"Tom Swamp",42.516667,-72.2125,3789,10,20,"Larix-Picea mariana-Sphagnum bog.. Physiography: rolling topog.- valley between ridges. Surrounding vegetation: oak with mixed hardwd/hemlock/white pine."
657,"Deer Lake Bog",44.033333,-71.833333,673,50,20,"Physiography: on Mount Moosilauke."
658,"Delorme 1",54.418889,-69.918889,675,50,10,"Rock basin lake. Physiography: Rolling morainic landscape, shallow till. Surrounding vegetation: Cladino - Piceetum marianae."
659,"Delorme 2",54.423611,-69.929722,677,50,20,"Rock basin lake. Physiography: hilly moraine. Surrounding vegetation: Cladino - Piceetum marianae."
663,"Denton Lake",45.85,-89.316667,681,10,5,"Seepage lake."
666,"Devils Lake",43.4178,-89.73205,684,50,10,"Lake is located in a pre-glacial gorge of the Wisconsin river cut through the Baraboo Hills, a bedrock high. The valley is dammed at both ends by terminal moraines deposited by the Green Bay lobe, which flowed around the Baraboo Hills. Lake is fed by groundwater. Surrounding vegetation: white-black-bur oak."
673,"Dinkey Meadow",37,-119.083333,693,50,10,"Small clearing along Dinkey Creek. Physiography: Sierra Nevada Mountain Range. Surrounding vegetation: Lodgepole Pine, White Fir, Sugar Pine."
701,"Donut Pond Bog",41.275,-70.058333,721,5,20,"Kettlehole bog. Physiography: moraine. Surrounding vegetation: Nantucket Island coastal heathland."
728,"Heart Lake",44.180556,-73.9675,3130,50,10,NA
755,"Dunnigan Lake",47.708333,-91.641667,774,5,5,"Shallow seepage lake. Surrounding vegetation: pine/aspen/spruce."
767,"Eggert Lake",44.47012,-93.619035,786,5,15,"Kettle lake. Physiography: rolling ground moraine."
771,"Eldora Fen",39.936667,-105.58,790,50,15,"Drained fen. Physiography: Ute Mountains."
