"siteID","sitename","lat","lon","datasetID","topdepth","botdepth","acc","thickness","description"
203,"Anderson Pond",36.03015,-85.50132,203,152,690,20,20,NA
203,"Anderson Pond",36.03015,-85.50132,15088,118,668,10,20,NA
296,"Boone Lake",55.575,-119.433333,302,85,534,50,20,"Glacial montane lake. Physiography: glaciated mountain foothills. Surrounding vegetation: Picea mariana; Betula glandulosa, Salix."
311,"Buckbean Fen",44.298611,-110.260556,318,505,958,5,5,"Fen 5 m above Yellowstone Lake. Physiography: within former Yellowstone Lake shorelines. Surrounding vegetation: Pinus contorta forest."
324,"Camel Lake",30.266667,-85.016667,331,474,630,20,20,"Sinkhole lake. Physiography: level, Gulf Coastal Plain. Surrounding vegetation: Pinus palustris/Quercus laevis forest."
332,"Lac Caribou",48.197778,-64.94,339,140,315,10,20,"Floating bog mat over kettle lake. Physiography: fluvio-lacustrine outwash plain. Surrounding vegetation: Betulo luteae - Abietetum."
336,"Carp Lake",45.918056,-120.880556,343,108,320,20,20,"Volcanic explosion crater. Physiography: hilly, local relief 100 m. Surrounding vegetation: open ponderosa pine forest."
349,"Chalco Lake",19.5,-99,357,368,812,10,5,"Playa, marsh, shallow lake. Physiography: basin surrounded by stratovolcanoes. Surrounding vegetation: cultives."
364,"Chatsworth Bog",40.675865,-88.324435,375,120,1140,5,20,"Marl fen in outwash channel. Physiography: level ground moraine. Surrounding vegetation: corn and soybean fields."
459,"Wentworth Lake",48.00985,-124.530695,19997,100,510,50,20,"Open water lake"
480,"Clear Pond",33.798895,-78.95336,492,524,902,20,20,"Small sinkhole on relict barrier. Physiography: relict barrier island formation. Surrounding vegetation: long-leaf pine, turkey oak."
484,"Coghill Lake",53.9,-66.766667,496,700,779,20,15,"Fluvial origin, moderate relief. Physiography: Caniapiscau granitic massif. Surrounding vegetation: lichen woodland."
485,"Colo Marsh",42.02,-93.27,497,100,303,20,10,"Physiography: Bemis Moraine."
494,"Copley Lake",38.872222,-107.0825,506,68,216,50,20,"Montane glacial lake (water 1 m deep). Physiography: flat knoll on mountain slope. Surrounding vegetation: Picea engelmannii - Abies lasiocarpa."
498,"Tourbière de Lanoraie COTEAU JAUNE",45.960833,-73.341944,510,100,280,50,15,"Ombrotrophic bog, ericaceous. Physiography: dissected deltaic plain. Surrounding vegetation: Tilio - Aceretum sacchari."
500,"Cottonwood Lake",44.835435,-99.90806,513,576,968,50,5,"Lake in preglacial stream valley. Physiography: Missouri Coteau, gently rolling. Surrounding vegetation: wheatgrass prairie, small-grain fields."
506,"Crates Lake",49.183333,-81.266667,519,280,510,50,10,NA
525,"Cupola Pond",36.8,-91.1,539,135,1155,20,20,"Small sinkhole pond almost completely occupied by Nyssa aquatica. Upland vegetation: oak-hickory forest. Water is darkly stained with tannins."
534,"Davis Lake",46.591667,-122.25,550,360,700,50,20,"Lake. Physiography: Puget Sound lowland. Surrounding vegetation: Psuedotsuga with Tsuga and Thuja."
562,"Tom Swamp",42.516667,-72.2125,3790,220,940,5,5,"Larix-Picea mariana-Sphagnum bog.. Physiography: rolling topog.- valley between ridges. Surrounding vegetation: oak with mixed hardwd/hemlock/white pine."
753,"Duck Pond",41.9327,-70.0005,772,255,393,50,10,NA
759,"Eaglenest Lake",57.766667,-112.1,778,270,650,20,20,"Large, flat-bottomed lake. Physiography: Birch Mountain Upland - rolling moraine. Surrounding vegetation: Picea mariana."
835,"Georgian Bay, Lake Huron (1)",44.74,-80.86,862,70,650,50,10,NA
836,"Georgian Bay, Lake Huron (2)",45.17,-81.32,863,120,1340,20,20,NA
